선거ID,선거명,시도명,구시군명,읍면동명,선거인수_총,선거일투표수,당일투표율,이전선거_당일투표율_사용,이전선거값_출처,직전선거_정확매칭,전국평균변화_6to7,전국변화표준편차_6to7,주모형_예측당일투표율,주모형_예측투표용지수,주모형_준비율_95,주모형_준비수량_95,주모형_준비율_99,주모형_준비수량_99,주모형_준비율_999,주모형_준비수량_999,주모형_예측오차_실제minus예측,부족수량_기본,부족수량_95,부족수량_99,부족수량_999,잔여수량_기본,잔여수량_95,잔여수량_99,잔여수량_999,충족여부_기본,충족여부_95,충족여부_99,충족여부_999,선거인수_개표결과기준,준비_50,준비_60,부족_50,부족_60,관내사전투표수,관내사전투표비중,당일투표율_pct,부족_50_pct,선거인수_총_pct,관내사전투표비중_pct,당일투표율_변동성,당일투표율_변동성_pct,선거회차,이전선거_당일투표율_정확매칭,주모형_예측당일투표율_원시값,주모형_안전여유_95,주모형_안전여유_99,주모형_안전여유_999
20220601,제8회 전국동시지방선거,서울특별시,종로구,청운효자동,10249,3155.0,0.3078349107229973,0.405277093033872,제7회 동일 읍면동,True,-0.07377596199111672,0.04871994275948738,0.33150113104275525,3398,0.41164543688211197,4219,0.4448237179013229,4559,0.48204575416957124,4941,-0.023666220319757958,0,0,0,0,243,1064,1404,1786,True,True,True,True,9179.0,5124.5,6149.4,0.0,0.0,1732.0,0.3544096582770616,59.08831908831908,50.01424501424502,52.05128205128206,44.1025641025641,0.0981653474349713,72.98701298701299,8,0.405277093033872,0.33150113104275525,0.08014430583935674,0.11332258685856765,0.150544623126816
20220601,제8회 전국동시지방선거,서울특별시,종로구,사직동,8266,2753.0,0.3330510525042342,0.3860145016590881,제7회 동일 읍면동,True,-0.07377596199111672,0.04871994275948738,0.31223853966797144,2581,0.39238284550732816,3244,0.4255611265265391,3518,0.46278316279478743,3826,0.020812512836262786,172,0,0,0,0,491,765,1073,False,True,True,True,8057.0,4133.0,4959.599999999999,0.0,0.0,1699.0,0.3816262353998203,76.49572649572649,50.01424501424502,45.71225071225072,56.01139601139601,0.0715941876679833,30.85137085137085,8,0.3860145016590881,0.31223853966797144,0.08014430583935674,0.11332258685856765,0.150544623126816
20220601,제8회 전국동시지방선거,서울특별시,종로구,삼청동,2183,685.0,0.3137883646358222,0.3642096964919196,제7회 동일 읍면동,True,-0.07377596199111672,0.04871994275948738,0.2904337345008029,635,0.3705780403401596,809,0.40375632135937056,882,0.4409783576276189,963,0.023354630135019316,50,0,0,0,0,124,197,278,False,True,True,True,1962.0,1091.5,1309.8,0.0,0.0,319.0,0.3177290836653386,63.9031339031339,50.01424501424502,13.98860398860399,29.51566951566952,0.0775858918268273,40.54834054834055,8,0.3642096964919196,0.2904337345008029,0.08014430583935674,0.11332258685856765,0.150544623126816
20220601,제8회 전국동시지방선거,서울특별시,종로구,부암동,8342,2904.0,0.3481179573243826,0.4111710058492946,제7회 동일 읍면동,True,-0.07377596199111672,0.04871994275948738,0.33739504385817787,2815,0.4175393496975346,3484,0.45071763071674553,3760,0.48793966698499386,4071,0.010722913466204742,89,0,0,0,0,580,856,1167,False,True,True,True,7693.0,4171.0,5005.2,0.0,0.0,1233.0,0.2980420594633792,84.61538461538461,50.01424501424502,45.8974358974359,22.36467236467236,0.0692717352688873,27.35930735930736,8,0.4111710058492946,0.33739504385817787,0.08014430583935674,0.11332258685856765,0.150544623126816
20220601,제8회 전국동시지방선거,서울특별시,종로구,평창동,15716,5482.0,0.3488164927462459,0.4047338013294402,제7회 동일 읍면동,True,-0.07377596199111672,0.04871994275948738,0.33095783933832346,5202,0.4111021451776802,6461,0.4442804261968911,6983,0.48150246246513945,7568,0.01785865340792242,280,0,0,0,0,979,1501,2086,False,True,True,True,14730.0,7858.0,9429.6,0.0,0.0,2449.0,0.3087882990795612,84.92877492877493,50.01424501424502,67.15099715099714,25.84045584045584,0.0700386649238871,28.455988455988457,8,0.4047338013294402,0.33095783933832346,0.08014430583935674,0.11332258685856765,0.150544623126816
20220601,제8회 전국동시지방선거,서울특별시,종로구,무악동,6796,2256.0,0.3319599764567392,0.418018018018018,제7회 동일 읍면동,True,-0.07377596199111672,0.04871994275948738,0.3442420560269013,2340,0.424386361866258,2885,0.45756464288546894,3110,0.49478667915371727,3363,-0.012282079570162086,0,0,0,0,84,629,854,1107,True,True,True,True,6417.0,3398.0,4077.6,0.0,0.0,1540.0,0.4056902002107481,75.75498575498575,50.01424501424502,41.168091168091166,64.27350427350427,0.0881817770285248,59.59595959595959,8,0.418018018018018,0.3442420560269013,0.08014430583935674,0.11332258685856765,0.150544623126816
20220601,제8회 전국동시지방선거,서울특별시,종로구,교남동,8554,2951.0,0.3449848024316109,0.4100258514105878,제7회 동일 읍면동,True,-0.07377596199111672,0.04871994275948738,0.3362498894194711,2877,0.4163941952588278,3562,0.44957247627803876,3846,0.4867945125462871,4165,0.0087349130121398,74,0,0,0,0,611,895,1214,False,True,True,True,8124.0,4277.0,5132.4,0.0,0.0,1683.0,0.3631851532153647,82.84900284900286,50.01424501424502,46.52421652421652,48.034188034188034,0.0351352846124272,1.9047619047619049,8,0.4100258514105878,0.3362498894194711,0.08014430583935674,0.11332258685856765,0.150544623126816
20220601,제8회 전국동시지방선거,서울특별시,종로구,가회동,3634,1037.0,0.2853604843148046,0.3996960486322188,제7회 동일 읍면동,True,-0.07377596199111672,0.04871994275948738,0.32592008664110206,1185,0.4060643924804588,1476,0.4392426734996697,1597,0.47646470976791805,1732,-0.04055960232629746,0,0,0,0,148,439,560,695,True,True,True,True,3524.0,1817.0,2180.4,0.0,0.0,884.0,0.4601769911504424,40.62678062678063,50.01424501424502,27.264957264957264,78.60398860398861,0.1027892394092589,77.43145743145743,8,0.3996960486322188,0.32592008664110206,0.08014430583935674,0.11332258685856765,0.150544623126816
20220601,제8회 전국동시지방선거,서울특별시,종로구,종로1·2·3·4가동,6889,1616.0,0.2345768616635215,0.3175742225974391,제7회 동일 읍면동,True,-0.07377596199111672,0.04871994275948738,0.2437982606063224,1680,0.32394256644567915,2232,0.35712084746489003,2461,0.3943428837331384,2717,-0.009221398942800885,0,0,0,0,64,616,845,1101,True,True,True,True,6253.0,3444.5,4133.4,0.0,0.0,857.0,0.3465426607359482,10.598290598290598,50.01424501424502,41.3960113960114,40.74074074074074,0.0759702944132225,38.326118326118326,8,0.3175742225974391,0.2437982606063224,0.08014430583935674,0.11332258685856765,0.150544623126816
20220601,제8회 전국동시지방선거,서울특별시,종로구,종로5·6가동,4885,1263.0,0.258546571136131,0.3283132530120481,제7회 동일 읍면동,True,-0.07377596199111672,0.04871994275948738,0.25453729102093137,1244,0.3346815968602881,1635,0.36785987787949903,1797,0.40508191414774736,1979,0.004009280115199632,19,0,0,0,0,372,534,716,False,True,True,True,4426.0,2442.5,2931.0,0.0,0.0,657.0,0.3421875,20.883190883190885,50.01424501424502,34.131054131054135,39.11680911680912,0.0845144995411974,53.67965367965368,8,0.3283132530120481,0.25453729102093137,0.08014430583935674,0.11332258685856765,0.150544623126816
