선거명,시도명,절대량위험_시도,표준편차_시도,전국평균표준편차_시도,비율위험_시도
제6회 전국동시지방선거,강원도,-31795.5,0.039193098618429435,0.03209004390937822,1.2213476157623884
제6회 전국동시지방선거,경기도,-701117.5,0.03669779723125831,0.03209004390937822,1.1435882523218825
제6회 전국동시지방선거,경상남도,-69271.5,0.03989831960987993,0.03209004390937822,1.2433239331972297
제6회 전국동시지방선거,경상북도,-92818.0,0.06082799473856791,0.03209004390937822,1.895541025445313
제6회 전국동시지방선거,광주광역시,-72798.0,0.010468889343526052,0.03209004390937822,0.3262348089360685
제6회 전국동시지방선거,대구광역시,-119485.5,0.01411717860919973,0.03209004390937822,0.4399239418015887
제6회 전국동시지방선거,대전광역시,-89150.0,0.015166612538443045,0.03209004390937822,0.4726267306231591
제6회 전국동시지방선거,부산광역시,-105418.5,0.016646878550851466,0.03209004390937822,0.5187552437716193
제6회 전국동시지방선거,서울특별시,-226781.0,0.016819470110058576,0.03209004390937822,0.5241335960011927
제6회 전국동시지방선거,세종특별자치시,-2831.5,,0.03209004390937822,
제6회 전국동시지방선거,울산광역시,-44008.5,0.008408773078672754,0.03209004390937822,0.2620368205920502
제6회 전국동시지방선거,인천광역시,-183240.0,0.033694862561413366,0.03209004390937822,1.0500098615186422
제6회 전국동시지방선거,전라남도,-47419.0,0.04774282474525614,0.03209004390937822,1.4877768593923126
제6회 전국동시지방선거,전라북도,-99010.0,0.054128606071853554,0.03209004390937822,1.6867725773361948
제6회 전국동시지방선거,제주특별자치도,6117.0,0.03249353615301683,0.03209004390937822,1.0125737516837954
제6회 전국동시지방선거,충청남도,-106730.0,0.047499404499408565,0.03209004390937822,1.4801913214436895
제6회 전국동시지방선거,충청북도,-62262.5,0.0396364560902158,0.03209004390937822,1.2351636601728728
제7회 전국동시지방선거,강원도,-122158.0,0.025784320898735624,0.019755541378734785,1.305169036090822
제7회 전국동시지방선거,경기도,-1036715.5,0.03049292198392708,0.019755541378734785,1.543512344174491
제7회 전국동시지방선거,경상남도,-230756.5,0.025542516689510675,0.019755541378734785,1.2929292191913857
제7회 전국동시지방선거,경상북도,-226234.0,0.0304426788191155,0.019755541378734785,1.5409691000361316
제7회 전국동시지방선거,광주광역시,-171115.5,0.010629917066353961,0.019755541378734785,0.5380726785749437
제7회 전국동시지방선거,대구광역시,-191054.0,0.0178933972804288,0.019755541378734785,0.9057406697894683
제7회 전국동시지방선거,대전광역시,-144188.5,0.012937509314491693,0.019755541378734785,0.6548800190521662
제7회 전국동시지방선거,부산광역시,-251171.0,0.019070464277656633,0.019755541378734785,0.9653222815844682
제7회 전국동시지방선거,서울특별시,-780594.5,0.017034058651558232,0.019755541378734785,0.8622420578103719
제7회 전국동시지방선거,세종특별자치시,-29276.0,,0.019755541378734785,
제7회 전국동시지방선거,울산광역시,-64538.0,0.005156519954164025,0.019755541378734785,0.26101638296354635
제7회 전국동시지방선거,인천광역시,-304082.5,0.020731909089221724,0.019755541378734785,1.0494224730048611
제7회 전국동시지방선거,전라남도,-203270.0,0.03007876502840825,0.019755541378734785,1.5225482537666908
제7회 전국동시지방선거,전라북도,-197401.5,0.01987239572015987,0.019755541378734785,1.0059150159028731
제7회 전국동시지방선거,제주특별자치도,-35042.5,0.0004845366582210968,0.019755541378734785,0.02452662009772411
제7회 전국동시지방선거,충청남도,-202457.5,0.027728004870324424,0.019755541378734785,1.4035558094181788
제7회 전국동시지방선거,충청북도,-153098.0,0.022208745757478967,0.019755541378734785,1.1241780385418774
제8회 전국동시지방선거,강원도,-236827.0,0.025981651697081293,0.020399416715389154,1.2736467939046976
제8회 전국동시지방선거,경기도,-2135364.0,0.03323897381257553,0.020399416715389154,1.629408050059604
제8회 전국동시지방선거,경상남도,-518843.5,0.023408103800735155,0.020399416715389154,1.1474888781048467
제8회 전국동시지방선거,경상북도,-472472.5,0.03133302626534575,0.020399416715389154,1.535976577296368
제8회 전국동시지방선거,광주광역시,-359236.0,0.009118458336195706,0.020399416715389154,0.4469960324560072
제8회 전국동시지방선거,대구광역시,-444260.5,0.010617490518604184,0.020399416715389154,0.5204801032666015
제8회 전국동시지방선거,대전광역시,-249345.5,0.01341118557293863,0.020399416715389154,0.6574298549831251
제8회 전국동시지방선거,부산광역시,-573333.0,0.017408597450140874,0.020399416715389154,0.8533870204733829
제8회 전국동시지방선거,서울특별시,-1520096.5,0.018963419338216863,0.020399416715389154,0.9296059589738668
제8회 전국동시지방선거,세종특별자치시,-62233.5,,0.020399416715389154,
제8회 전국동시지방선거,울산광역시,-164920.5,0.007988643320607235,0.020399416715389154,0.391611359876808
제8회 전국동시지방선거,인천광역시,-539119.0,0.023038350114884948,0.020399416715389154,1.1293631791689909
제8회 전국동시지방선거,전라남도,-364115.0,0.02815562836173018,0.020399416715389154,1.3802173245713345
제8회 전국동시지방선거,전라북도,-399342.5,0.027166095976134084,0.020399416715389154,1.3317094481255536
제8회 전국동시지방선거,제주특별자치도,-104500.0,0.0047339906683289655,0.020399416715389154,0.23206500138593086
제8회 전국동시지방선거,충청남도,-371355.0,0.030562605809236365,0.020399416715389154,1.4982097888210786
제8회 전국동시지방선거,충청북도,-286026.5,0.021264446403470673,0.020399416715389154,1.0424046285318025
