선거명,시도명,구시군명,절대량위험_구,표준편차_구,전국평균표준편차_구,비율위험_구,Risk_index_50_구,비율위험_구_pct
제6회 전국동시지방선거,강원도,강릉시,-7422.0,0.031091056262289106,0.037686614594260814,0.8249893655086725,-0.04206767556538004,31.07569721115538
제6회 전국동시지방선거,강원도,고성군,1229.5,0.06274627687922621,0.037686614594260814,1.6649486178252173,0.04686487516676196,97.60956175298804
제6회 전국동시지방선거,강원도,동해시,-3823.0,0.024153224532061802,0.037686614594260814,0.6408966364344126,-0.0504380178373529,13.545816733067728
제6회 전국동시지방선거,강원도,삼척시,751.5,0.05398856453380198,0.037686614594260814,1.4325660480531393,0.01220026949364417,92.03187250996015
제6회 전국동시지방선거,강원도,속초시,-3889.5,0.021037316078983976,0.037686614594260814,0.5582171894577044,-0.05824610270003145,6.772908366533864
제6회 전국동시지방선거,강원도,양구군,781.0,0.027699599408709488,0.037686614594260814,0.7349983464136304,0.040851553509781355,21.91235059760956
제6회 전국동시지방선거,강원도,양양군,1537.5,0.03197986946260235,0.037686614594260814,0.8485736860925809,0.06463614579392105,34.26294820717131
제6회 전국동시지방선거,강원도,영월군,909.5,0.03265758550912632,0.037686614594260814,0.8665566239027384,0.02653692410935722,35.85657370517929
제6회 전국동시지방선거,강원도,원주시,-16926.0,0.037049602198700675,0.037686614594260814,0.9830971181036476,-0.0658373786407767,49.800796812749006
제6회 전국동시지방선거,강원도,인제군,679.5,0.050647568652391436,0.037686614594260814,1.343913991682989,0.025544152475470847,87.25099601593625
제6회 전국동시지방선거,강원도,정선군,781.5,0.05325646222635811,0.037686614594260814,1.41313999147242,0.022964356028327113,91.23505976095618
제6회 전국동시지방선거,강원도,철원군,762.0,0.06114293417158,0.037686614594260814,1.6224045282351067,0.01979220779220779,96.01593625498009
제6회 전국동시지방선거,강원도,춘천시,-7556.5,0.04033929565762259,0.037686614594260814,1.070387884184369,-0.03431699796091681,60.95617529880478
제6회 전국동시지방선거,강원도,태백시,-1590.0,0.0242277372390987,0.037686614594260814,0.642873802806057,-0.039680559021712004,13.94422310756972
제6회 전국동시지방선거,강원도,평창군,466.0,0.05196939857206356,0.037686614594260814,1.3789882463992358,0.01254171600818172,90.43824701195219
제6회 전국동시지방선거,강원도,홍천군,488.0,0.04704632561068983,0.037686614594260814,1.248356375790103,0.008269784782240299,78.08764940239044
제6회 전국동시지방선거,강원도,화천군,58.0,0.054611913980450864,0.037686614594260814,1.4491063887910896,0.002835076742594584,93.22709163346613
제6회 전국동시지방선거,강원도,횡성군,967.5,0.01970394325532868,0.037686614594260814,0.5228366481697546,0.025231451297431217,3.9840637450199203
제6회 전국동시지방선거,경기도,가평군,-136.5,0.02596588100521956,0.037686614594260814,0.6889947872678867,-0.0026517727051966976,18.725099601593627
제6회 전국동시지방선거,경기도,고양시덕양구,-22977.5,0.041636918426583354,0.037686614594260814,1.1048198113535017,-0.06895904923395507,64.5418326693227
제6회 전국동시지방선거,경기도,고양시일산동구,-17946.0,0.0483309458398011,0.037686614594260814,1.2824432855043784,-0.07921220360528965,80.87649402390437
제6회 전국동시지방선거,경기도,고양시일산서구,-12064.5,0.03595533007139495,0.037686614594260814,0.9540610229519126,-0.05251485407099484,45.81673306772908
제6회 전국동시지방선거,경기도,과천시,1959.5,0.02982339526652024,0.037686614594260814,0.7913524626078235,0.035128448754952406,26.693227091633464
제6회 전국동시지방선거,경기도,광명시,-10273.5,0.039327136940828046,0.037686614594260814,1.0435306371832365,-0.03695011814974266,56.573705179282875
제6회 전국동시지방선거,경기도,광주시,-23522.5,0.047074388858453706,0.037686614594260814,1.2491010234074602,-0.10179683476650236,78.48605577689243
제6회 전국동시지방선거,경기도,구리시,-7528.5,0.0570336833858867,0.037686614594260814,1.5133671198625571,-0.05020573112908711,94.82071713147411
제6회 전국동시지방선거,경기도,군포시,-4576.0,0.04529656616698448,0.037686614594260814,1.201927173736708,-0.020256930118903223,74.10358565737052
제6회 전국동시지방선거,경기도,김포시,-17775.0,0.031018524194616308,0.037686614594260814,0.823064754650051,-0.07163179444193694,30.677290836653388
제6회 전국동시지방선거,경기도,남양주시,-45321.0,0.03705249434796458,0.037686614594260814,0.9831738601855523,-0.09358081181421356,50.199203187250994
제6회 전국동시지방선거,경기도,동두천시,-6615.0,0.03228616548361076,0.037686614594260814,0.856701134639128,-0.08431907408351604,34.66135458167331
