예측대상선거ID,예측대상선거명,시도명,구시군명,읍면동명,제9회_가정선거인수,제9회_선거인수_가정설명,제8회_당일투표율,가중치_6to7,가중치_7to8,전국평균변화_6to7,전국평균변화_7to8,전국가중_예상변화_8to9,전국가중모형_예측당일투표율,전국가중모형_예측투표용지수,전국가중모형_준비율_95,전국가중모형_준비수량_95,전국가중모형_준비율_99,전국가중모형_준비수량_99,전국가중모형_준비율_999,전국가중모형_준비수량_999,변화_6to7,변화_7to8,지역가중_예상변화_8to9_사용,지역가중_자료상태,지역가중모형_예측당일투표율,지역가중모형_예측투표용지수,지역가중모형_준비율_95,지역가중모형_준비수량_95,지역가중모형_준비율_99,지역가중모형_준비수량_99,지역가중모형_준비율_999,지역가중모형_준비수량_999,제8회백테스트_평균오차,제8회백테스트_오차표준편차,기준선거ID,기준선거명,제8회_선거인수,선거인수_개표결과기준,제8회_선거일투표수,준비_50,준비_60,부족_50,부족_60,관내사전투표수,관내사전투표비중,당일투표율_pct,부족_50_pct,선거인수_총_pct,관내사전투표비중_pct,당일투표율_변동성,당일투표율_변동성_pct,선거회차,전국가중_예측률_원시값,지역가중_예상변화_8to9,지역가중_예측률_원시값,전국가중모형_오차보정기준율,전국가중모형_오차보정기준수량,전국가중모형_안전여유_95,전국가중모형_안전여유_99,전국가중모형_안전여유_999,지역가중모형_오차보정기준율,지역가중모형_오차보정기준수량,지역가중모형_안전여유_95,지역가중모형_안전여유_99,지역가중모형_안전여유_999
20260603,제9회 전국동시지방선거,서울특별시,종로구,청운효자동,10249,제9회 읍면동별 선거인수 미확보로 제8회 선거인수를 임시 사용,0.3078349107229973,0.3,0.7,-0.07377596199111672,-0.09678531090379286,-0.08988250622999001,0.2179524044930073,2234,0.24863869504538402,2549,0.2708677105321324,2777,0.2958059892867223,3032,-0.09888674109257262,-0.0974421823108747,-0.09787554994538407,제6·7·8회 동일 읍면동 변화 사용,0.20995936077761324,2152,0.24064565132998997,2467,0.2628746668167383,2695,0.2878129455713282,2950,-0.023009348912676145,0.03264172611857318,20220601,제8회 전국동시지방선거,10249,9179.0,3155.0,5124.5,6149.4,0.0,0.0,1732.0,0.3544096582770616,59.08831908831908,50.01424501424502,52.05128205128206,44.1025641025641,0.0981653474349713,72.98701298701299,8,0.2179524044930073,-0.09787554994538407,0.20995936077761324,0.19494305558033115,1998,0.030686290552376736,0.05291530603912509,0.07785358479371499,0.1869500118649371,1917,0.030686290552376736,0.05291530603912509,0.07785358479371499
20260603,제9회 전국동시지방선거,서울특별시,종로구,사직동,8266,제9회 읍면동별 선거인수 미확보로 제8회 선거인수를 임시 사용,0.3330510525042342,0.3,0.7,-0.07377596199111672,-0.09678531090379286,-0.08988250622999001,0.24316854627424422,2011,0.273854836826621,2264,0.2960838523133693,2448,0.3210221310679592,2654,-0.08872824857477529,-0.0529634491548539,-0.06369288898083032,제6·7·8회 동일 읍면동 변화 사용,0.2693581635234039,2227,0.3000444540757807,2481,0.322273469562529,2664,0.3472117483171189,2871,-0.023009348912676145,0.03264172611857318,20220601,제8회 전국동시지방선거,8266,8057.0,2753.0,4133.0,4959.599999999999,0.0,0.0,1699.0,0.3816262353998203,76.49572649572649,50.01424501424502,45.71225071225072,56.01139601139601,0.0715941876679833,30.85137085137085,8,0.24316854627424422,-0.06369288898083032,0.2693581635234039,0.22015919736156808,1820,0.030686290552376736,0.05291530603912509,0.07785358479371499,0.24634881461072777,2037,0.030686290552376736,0.05291530603912509,0.07785358479371499
20260603,제9회 전국동시지방선거,서울특별시,종로구,삼청동,2183,제9회 읍면동별 선거인수 미확보로 제8회 선거인수를 임시 사용,0.3137883646358222,0.3,0.7,-0.07377596199111672,-0.09678531090379286,-0.08988250622999001,0.22390585840583221,489,0.254592148958209,556,0.2768211644449573,605,0.3017594431995472,659,-0.10187976959754652,-0.05042133185609737,-0.06585886317853212,제6·7·8회 동일 읍면동 변화 사용,0.2479295014572901,542,0.27861579200966685,609,0.3008448074964152,657,0.32578308625100505,712,-0.023009348912676145,0.03264172611857318,20220601,제8회 전국동시지방선거,2183,1962.0,685.0,1091.5,1309.8,0.0,0.0,319.0,0.3177290836653386,63.9031339031339,50.01424501424502,13.98860398860399,29.51566951566952,0.0775858918268273,40.54834054834055,8,0.22390585840583221,-0.06585886317853212,0.2479295014572901,0.20089650949315607,439,0.030686290552376736,0.05291530603912509,0.07785358479371499,0.22492015254461395,492,0.030686290552376736,0.05291530603912509,0.07785358479371499
20260603,제9회 전국동시지방선거,서울특별시,종로구,부암동,8342,제9회 읍면동별 선거인수 미확보로 제8회 선거인수를 임시 사용,0.3481179573243826,0.3,0.7,-0.07377596199111672,-0.09678531090379286,-0.08988250622999001,0.2582354510943926,2155,0.28892174164676937,2411,0.3111507571335177,2596,0.33608903588810757,2804,-0.0753095872601689,-0.063053048524912,-0.06673001014548907,제6·7·8회 동일 읍면동 변화 사용,0.28138794717889354,2348,0.3120742377312703,2604,0.3343032532180186,2789,0.35924153197260855,2997,-0.023009348912676145,0.03264172611857318,20220601,제8회 전국동시지방선거,8342,7693.0,2904.0,4171.0,5005.2,0.0,0.0,1233.0,0.2980420594633792,84.61538461538461,50.01424501424502,45.8974358974359,22.36467236467236,0.0692717352688873,27.35930735930736,8,0.2582354510943926,-0.06673001014548907,0.28138794717889354,0.23522610218171647,1963,0.030686290552376736,0.05291530603912509,0.07785358479371499,0.2583785982662174,2156,0.030686290552376736,0.05291530603912509,0.07785358479371499
20260603,제9회 전국동시지방선거,서울특별시,종로구,평창동,15716,제9회 읍면동별 선거인수 미확보로 제8회 선거인수를 임시 사용,0.3488164927462459,0.3,0.7,-0.07377596199111672,-0.09678531090379286,-0.08988250622999001,0.2589339865162559,4070,0.28962027706863264,4552,0.31184929255538096,4902,0.33678757130997083,5293,-0.0832671732106986,-0.055917308583194325,-0.0641222679714456,제6·7·8회 동일 읍면동 변화 사용,0.2846942247748003,4475,0.31538051532717704,4957,0.33760953081392536,5306,0.3625478095685153,5698,-0.023009348912676145,0.03264172611857318,20220601,제8회 전국동시지방선거,15716,14730.0,5482.0,7858.0,9429.6,0.0,0.0,2449.0,0.3087882990795612,84.92877492877493,50.01424501424502,67.15099715099714,25.84045584045584,0.0700386649238871,28.455988455988457,8,0.2589339865162559,-0.0641222679714456,0.2846942247748003,0.23592463760357973,3708,0.030686290552376736,0.05291530603912509,0.07785358479371499,0.26168487586212413,4113,0.030686290552376736,0.05291530603912509,0.07785358479371499
20260603,제9회 전국동시지방선거,서울특별시,종로구,무악동,6796,제9회 읍면동별 선거인수 미확보로 제8회 선거인수를 임시 사용,0.3319599764567392,0.3,0.7,-0.07377596199111672,-0.09678531090379286,-0.08988250622999001,0.2420774702267492,1646,0.27276376077912595,1854,0.2949927762658743,2005,0.31993105502046415,2175,-0.09028859812887796,-0.08605804156127883,-0.08732720853155856,제6·7·8회 동일 읍면동 변화 사용,0.24463276792518063,1663,0.2753190584775574,1872,0.2975480739643057,2023,0.3224863527188956,2192,-0.023009348912676145,0.03264172611857318,20220601,제8회 전국동시지방선거,6796,6417.0,2256.0,3398.0,4077.6,0.0,0.0,1540.0,0.4056902002107481,75.75498575498575,50.01424501424502,41.168091168091166,64.27350427350427,0.0881817770285248,59.59595959595959,8,0.2420774702267492,-0.08732720853155856,0.24463276792518063,0.21906812131407305,1489,0.030686290552376736,0.05291530603912509,0.07785358479371499,0.22162341901250449,1507,0.030686290552376736,0.05291530603912509,0.07785358479371499
20260603,제9회 전국동시지방선거,서울특별시,종로구,교남동,8554,제9회 읍면동별 선거인수 미확보로 제8회 선거인수를 임시 사용,0.3449848024316109,0.3,0.7,-0.07377596199111672,-0.09678531090379286,-0.08988250622999001,0.2551022962016209,2183,0.28578858675399765,2445,0.308017602240746,2635,0.3329558809953359,2849,0.009483355931383497,-0.06504104897897689,-0.04268372750586877,제6·7·8회 동일 읍면동 변화 사용,0.3023010749257421,2586,0.33298736547811886,2849,0.3552163809648672,3039,0.38015465971945706,3252,-0.023009348912676145,0.03264172611857318,20220601,제8회 전국동시지방선거,8554,8124.0,2951.0,4277.0,5132.4,0.0,0.0,1683.0,0.3631851532153647,82.84900284900286,50.01424501424502,46.52421652421652,48.034188034188034,0.0351352846124272,1.9047619047619049,8,0.2551022962016209,-0.04268372750586877,0.3023010749257421,0.23209294728894475,1986,0.030686290552376736,0.05291530603912509,0.07785358479371499,0.27929172601306596,2390,0.030686290552376736,0.05291530603912509,0.07785358479371499
20260603,제9회 전국동시지방선거,서울특별시,종로구,가회동,3634,제9회 읍면동별 선거인수 미확보로 제8회 선거인수를 임시 사용,0.2853604843148046,0.3,0.7,-0.07377596199111672,-0.09678531090379286,-0.08988250622999001,0.1954779780848146,711,0.22616426863719133,822,0.24839328412393968,903,0.27333156287852955,994,-0.09079308180256379,-0.1143355643174142,-0.10727281956295907,제6·7·8회 동일 읍면동 변화 사용,0.1780876647518455,648,0.20877395530422224,759,0.2310029707909706,840,0.2559412495455605,931,-0.023009348912676145,0.03264172611857318,20220601,제8회 전국동시지방선거,3634,3524.0,1037.0,1817.0,2180.4,0.0,0.0,884.0,0.4601769911504424,40.62678062678063,50.01424501424502,27.264957264957264,78.60398860398861,0.1027892394092589,77.43145743145743,8,0.1954779780848146,-0.10727281956295907,0.1780876647518455,0.17246862917213845,627,0.030686290552376736,0.05291530603912509,0.07785358479371499,0.15507831583916937,564,0.030686290552376736,0.05291530603912509,0.07785358479371499
20260603,제9회 전국동시지방선거,서울특별시,종로구,종로1·2·3·4가동,6889,제9회 읍면동별 선거인수 미확보로 제8회 선거인수를 임시 사용,0.2345768616635215,0.3,0.7,-0.07377596199111672,-0.09678531090379286,-0.08988250622999001,0.14469435543353149,997,0.17538064598590822,1209,0.19760966147265657,1362,0.22254794022724647,1534,-0.06871944625545878,-0.0829973609339176,-0.07871398653037995,제6·7·8회 동일 읍면동 변화 사용,0.15586287513314157,1074,0.1865491656855183,1286,0.20877818117226665,1439,0.23371645992685655,1611,-0.023009348912676145,0.03264172611857318,20220601,제8회 전국동시지방선거,6889,6253.0,1616.0,3444.5,4133.4,0.0,0.0,857.0,0.3465426607359482,10.598290598290598,50.01424501424502,41.3960113960114,40.74074074074074,0.0759702944132225,38.326118326118326,8,0.14469435543353149,-0.07871398653037995,0.15586287513314157,0.12168500652085534,839,0.030686290552376736,0.05291530603912509,0.07785358479371499,0.13285352622046542,916,0.030686290552376736,0.05291530603912509,0.07785358479371499
20260603,제9회 전국동시지방선거,서울특별시,종로구,종로5·6가동,4885,제9회 읍면동별 선거인수 미확보로 제8회 선거인수를 임시 사용,0.258546571136131,0.3,0.7,-0.07377596199111672,-0.09678531090379286,-0.08988250622999001,0.168664064906141,824,0.19935035545851773,974,0.22157937094526609,1083,0.24651764969985598,1205,-0.0984491737503786,-0.06976668187591711,-0.07837142943825556,제6·7·8회 동일 읍면동 변화 사용,0.18017514169787543,881,0.21086143225025217,1031,0.23309044773700052,1139,0.2580287264915904,1261,-0.023009348912676145,0.03264172611857318,20220601,제8회 전국동시지방선거,4885,4426.0,1263.0,2442.5,2931.0,0.0,0.0,657.0,0.3421875,20.883190883190885,50.01424501424502,34.131054131054135,39.11680911680912,0.0845144995411974,53.67965367965368,8,0.168664064906141,-0.07837142943825556,0.18017514169787543,0.14565471599346486,712,0.030686290552376736,0.05291530603912509,0.07785358479371499,0.1571657927851993,768,0.030686290552376736,0.05291530603912509,0.07785358479371499
